Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	editRate.9	editRate.10	editRate.11	editRate.12	editRate.13	silencingRate	clockRate.c	birthRate	rho	deathRate
460000	-351.46100198163634	-112.52134584922064	-238.9396561324157	-112.52134584922064	48.71828002784721	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.003922503953461082	0.18114750789173556	0.02713060965308903	0.045945897573832196	0.042250157877069754	0.0576869724422754	0.15055820734006725	0.07422593784270602	0.0	0.014281582962206732	0.16902330708570149	1.0	0.11150890022199836
470000	-359.4953375957766	-114.95991991764278	-244.53541767813383	-114.95991991764278	48.71828002784721	0.08450225223142097	0.12947572893601905	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.003922503953461082	0.15566077871598488	0.02713060965308903	0.045945897573832196	0.042250157877069754	0.08317370161802609	0.15055820734006725	0.07422593784270602	0.0	0.010785206583579338	0.17053633021809608	1.0	0.11053448716479347
480000	-378.598347587878	-117.29087537787184	-261.30747221000615	-117.29087537787184	55.37031044846121	0.028008296685183065	0.1519516338061915	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.003922503953461082	0.15566077871598488	0.02713060965308903	0.045945897573832196	0.042250157877069754	0.060697796747853625	0.20705216288630515	0.07422593784270602	0.0	0.01184844280866733	0.09377810046642218	1.0	0.030294521464739578
490000	-351.3576260555259	-121.13199376258126	-230.22563229294462	-121.13199376258126	57.70246505828375	0.028008296685183065	0.1519516338061915	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.13281852521304874	0.012723875616795	0.02713060965308903	0.039899305213695155	0.05629103971667199	0.060697796747853625	0.20705216288630515	0.08027253020284307	0.0	0.015435598847910716	0.1727391549759715	1.0	0.13810056511237317
500000	-334.9415613604194	-112.23552519454412	-222.70603616587533	-112.23552519454412	50.101499585636894	0.028008296685183065	0.1519516338061915	0.015853783893947607	0.01734139161963992	0.16995904874473627	0.13281852521304874	0.012723875616795	0.02713060965308903	0.039899305213695155	0.05629103971667199	0.060697796747853625	0.20705216288630515	0.08027253020284307	0.0	0.011958507098187843	0.17022625018323692	1.0	0.12845296022970867
510000	-366.5420393891626	-129.4365004818029	-237.1055389073597	-129.4365004818029	51.37090583802294	0.028008296685183065	0.1519516338061915	0.015853783893947607	0.01734139161963992	0.179687948977533	0.123089624980252	0.012723875616795	0.02713060965308903	0.039899305213695155	0.05629103971667199	0.060697796747853625	0.20705216288630515	0.08027253020284307	0.0	0.011745600224058735	0.14871582401865766	1.0	0.07031711973200293
520000	-324.1873722152163	-128.65673180875123	-195.53064040646507	-128.65673180875123	37.337462159086975	0.028008296685183065	0.142591154507677	0.025214263192462102	0.01734139161963992	0.179687948977533	0.123089624980252	0.012723875616795	0.02713060965308903	0.039899305213695155	0.05629103971667199	0.060697796747853625	0.20705216288630515	0.08027253020284307	0.0	0.026767240172643043	0.22111107716648007	1.0	0.13522962891803603
530000	-353.4506813938725	-123.63925765972357	-229.81142373414892	-123.63925765972357	40.212386820809435	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.179687948977533	0.11998554644936098	0.012723875616795	0.02713060965308903	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.014936541680388077	0.11937471754451405	1.0	0.04537392661537232
540000	-329.31389149471397	-118.17227523117418	-211.1416162635398	-118.17227523117418	40.212386820809435	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.1668097385841105	0.11998554644936098	0.012723875616795	0.040008820046511545	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.01784878648120827	0.21929993083484642	1.0	0.1743513077448544
550000	-325.93289780048326	-123.55294189486813	-202.37995590561513	-123.55294189486813	57.62238955739783	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.1668097385841105	0.11998554644936098	0.012723875616795	0.040008820046511545	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.021679235616261356	0.4316983408308904	1.0	0.363682379747167
560000	-314.825800177591	-110.99129533299252	-203.8345048445985	-110.99129533299252	50.275056515500125	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.1668097385841105	0.11998554644936098	0.012723875616795	0.040008820046511545	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.013545368578837542	0.2789177903797104	1.0	0.21146668155113504
570000	-312.89481955296554	-118.97082262958372	-193.92399692338182	-118.97082262958372	32.4473014050545	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.1668097385841105	0.11998554644936098	0.012723875616795	0.040008820046511545	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.023256301991509985	0.4849790988550254	1.0	0.48436305695614923
580000	-291.11296516491683	-118.73714122176503	-172.3758239431518	-118.73714122176503	31.067690471113533	0.028008296685183065	0.142591154507677	0.00517023625565086	0.037385418556451167	0.1668097385841105	0.11998554644936098	0.012723875616795	0.040008820046511545	0.08046907395934917	0.05629103971667199	0.06380187527874465	0.20705216288630515	0.039702761457189054	0.0	0.027865686987888123	0.616763914554013	1.0	0.6151638852630468
590000	-306.41772505142103	-131.0898299465152	-175.32789510490582	-131.0898299465152	42.60916423943562	0.028008296685183065	0.142591154507677	0.05665479988886078	0.027604186760623074	0.16247327618507257	0.12976677824518906	0.012723875616795	0.041894226313812725	0.08046907395934917	0.05629103971667199	0.01043190537823355	0.21138862528534308	0.039702761457189054	0.0	0.022753213831165773	0.6343915835680901	1.0	0.6449648245140467
600000	-283.7341690469873	-115.6045195749661	-168.12964947202119	-115.6045195749661	52.02026559375018	0.028008296685183065	0.142591154507677	0.05665479988886078	0.027604186760623074	0.16247327618507257	0.014458446618350211	0.08778868125240959	0.041894226313812725	0.08046907395934917	0.05629103971667199	0.07338703224046084	0.21138862528534308	0.016991160586186018	0.0	0.0254367283971436	0.6876662787810626	1.0	0.6605902681571094
610000	-315.17636640286935	-112.26805532973462	-202.9083110731347	-112.26805532973462	52.02026559375018	0.028008296685183065	0.15974927435644334	0.14020174275448455	0.027604186760623074	0.14531515633630623	0.04883840075093277	0.053408727119827026	0.041894226313812725	0.06074802708923621	0.05629103971667199	0.0931080791105738	0.12784168241971933	0.016991160586186018	0.0	0.02149132067416034	0.35143661538331117	1.0	0.3434209409387079
