Sample	posterior	likelihood	prior	treeLikelihood	treeHeight	editRate.1	editRate.2	editRate.3	editRate.4	editRate.5	editRate.6	editRate.7	editRate.8	silencingRate	clockRate.c	birthRate	rho	deathRate
5190000	-121.27522909875475	-75.61703252107196	-45.65819657768278	-75.61703252107196	53.03434466391607	0.05169152093217592	0.4358754898899052	0.09209374969546026	0.2361251027840604	0.05073802646285435	0.03648288809926727	0.06112297462890134	0.0358702475073756	0.0	0.026520212221027947	0.12489986652886141	1.0	0.09662426282906142
5200000	-121.52492524424518	-77.2446590003315	-44.28026624391369	-77.2446590003315	41.47334464685807	0.08678828588372174	0.4283810702976412	0.06204364306709174	0.055165946073803734	0.12111368986692289	0.14804979190269824	0.07539842122766896	0.023059151680451816	0.0	0.02967588939219933	0.07902699154720846	1.0	0.05344528069862931
5210000	-122.07057237963761	-74.11969854839138	-47.95087383124623	-74.11969854839138	46.47518507402928	0.09742831342922656	0.4283810702976412	0.08762854620100001	0.055165946073803734	0.03739710798552366	0.11668538643664197	0.15425447789571134	0.023059151680451816	0.0	0.025802704282372503	0.2886932458920315	1.0	0.31292526148084276
5220000	-117.25034541987019	-75.91070999239962	-41.33963542747057	-75.91070999239962	40.363561476090936	0.09742831342922656	0.4283810702976412	0.05240249935340478	0.19280182026740517	0.03739710798552366	0.056280938479166376	0.06401643423866264	0.07129181594896994	0.0	0.029503546464511685	0.15575633566070698	1.0	0.11656620393136843
5230000	-118.6389842735256	-73.2543168055905	-45.38466746793509	-73.2543168055905	44.77063135397824	0.0808407290027465	0.4283810702976412	0.09353574637707086	0.19280182026740517	0.06910298686007674	0.03173527588198037	0.03231055536410956	0.07129181594896994	0.0	0.02660768889242483	0.14479070042853634	1.0	0.11694564858580064
5240000	-120.25606837901466	-73.90424907328955	-46.35181930572511	-73.90424907328955	46.229292860370926	0.08571624889991772	0.4283810702976412	0.09353574637707086	0.19275862565949156	0.06427066157081911	0.03173527588198037	0.03231055536410956	0.07129181594896994	0.0	0.0279325238516248	0.06934568727513529	1.0	0.04905317480695366
5250000	-118.12762840930756	-74.49306684122237	-43.634561568085196	-74.49306684122237	42.09137097244575	0.2123191577733672	0.4283810702976412	0.09353574637707086	0.038950622817210595	0.054412664641074394	0.06879836678055655	0.03231055536410956	0.07129181594896994	0.0	0.031230437051866844	0.18586811054337507	1.0	0.17188978216907075
5260000	-115.09588683593782	-75.54762852164839	-39.54825831428943	-75.54762852164839	38.62217044224041	0.04964338097312298	0.4283810702976412	0.2346957937107162	0.038950622817210595	0.07333432351189455	0.06879836678055655	0.03231055536410956	0.0738858865447487	0.0	0.03657678674391701	0.28017229561701523	1.0	0.2549681007744978
5270000	-117.78798265011085	-74.29938309880853	-43.48859955130231	-74.29938309880853	46.967844647303394	0.05633041333566254	0.5340727234141995	0.18343627407608026	0.047895079497030736	0.059514040348305194	0.06879836678055655	0.03231055536410956	0.01764254718405603	0.0	0.028389443042537495	0.33966017035862606	1.0	0.34100443713296447
5280000	-118.1017758146949	-74.10232696112072	-43.99944885357418	-74.10232696112072	49.234077138048185	0.13789031709786131	0.48473901365495253	0.03637552055887583	0.1582955133207233	0.05759364035735143	0.03849257276855854	0.06897087505762144	0.01764254718405603	0.0	0.019401806755105954	0.10438761165245244	1.0	0.07468463911755356
5290000	-117.78484574286958	-75.30677930870803	-42.478066434161555	-75.30677930870803	42.490668655090374	0.05289994576256234	0.5273456981006485	0.024092934623410847	0.08473518001580074	0.18582024648734194	0.03849257276855854	0.06897087505762144	0.01764254718405603	0.0	0.0307431617308811	0.1580106510433401	1.0	0.11534183324512318
5300000	-119.91730180085312	-76.75170629804771	-43.16559550280542	-76.75170629804771	50.29875274198736	0.05289994576256234	0.5273456981006485	0.024092934623410847	0.09943539425486699	0.17112003224827568	0.03849257276855854	0.032573980785110125	0.05403944145656734	0.0	0.024261509324053646	0.210209567427582	1.0	0.17651482220766546
5310000	-119.94038119894618	-77.73409682854175	-42.20628437040443	-77.73409682854175	41.409613999902064	0.05289994576256234	0.5273456981006485	0.024092934623410847	0.07811462664456384	0.17112003224827568	0.03849257276855854	0.053894748395413264	0.05403944145656734	0.0	0.0203710618721741	0.13619164448622476	1.0	0.13975267278617337
5320000	-115.27404570418005	-74.54044727598051	-40.733598428199535	-74.54044727598051	36.75629140246086	0.05289994576256234	0.4870760633869665	0.06436256933709279	0.05095456955208323	0.11707439752340697	0.03849257276855854	0.053894748395413264	0.13524513327391666	0.0	0.033702829564262786	0.19877143810812264	1.0	0.19730694650316896
5330000	-120.37282821209433	-73.43428772887552	-46.93854048321882	-73.43428772887552	48.09827079736483	0.13592761252286298	0.4403334308894716	0.07679330588967738	0.0779513269660797	0.06001478423935751	0.019839657823221266	0.16068715331627953	0.028452728353050405	0.0	0.03572222384978071	0.13620876895891634	1.0	0.15029189583719046
5340000	-121.15430811629435	-75.63945635726759	-45.51485175902675	-75.63945635726759	40.21491161505552	0.13592761252286298	0.35769541394586124	0.07679330588967738	0.03189046193841319	0.18871366621063435	0.019839657823221266	0.16068715331627953	0.028452728353050405	0.0	0.026442627803616267	0.3881459638210823	1.0	0.39053598372046155
5350000	-118.51855680812234	-77.55688166699376	-40.96167514112858	-77.55688166699376	40.82606563212512	0.25312814077674567	0.4392522622581461	0.13722207129469863	0.03189046193841319	0.028747275098766206	0.019839657823221266	0.06146740245695882	0.028452728353050405	0.0	0.02704676644256402	0.2747808495515545	1.0	0.30391188513739836
5360000	-123.49369778757563	-78.57268434676314	-44.92101344081249	-78.57268434676314	49.69601709211225	0.33680560387612696	0.35909127651079875	0.13722207129469863	0.012618883108226089	0.054917157927490814	0.009424876472649809	0.06146740245695882	0.028452728353050405	0.0	0.03546550134936946	0.369356064090153	1.0	0.37467061673692886
5370000	-121.5435171082631	-76.69687371770479	-44.84664339055832	-76.69687371770479	42.90794987155766	0.20731224484334992	0.35909127651079875	0.08708866855879108	0.10380065410009293	0.13404103283900584	0.009424876472649809	0.07954639779595837	0.019694848879353584	0.0	0.03358945922897787	0.2898283977400832	1.0	0.3107230046436935
5380000	-123.64700820254009	-74.85068120065186	-48.79632700188822	-74.85068120065186	44.444155477672766	0.1981260503365183	0.3132518173506771	0.07145353166359902	0.09181836700842187	0.17167896497272325	0.01463927568149628	0.039601146253254324	0.0994308467333101	0.0	0.033183840828344094	0.1009007478242744	1.0	0.0897070689907514
5390000	-119.7334996129961	-72.1576672000735	-47.5758324129226	-72.1576672000735	39.20285302053361	0.1981260503365183	0.3580902177449654	0.08411258413211527	0.09181836700842187	0.11418151210991866	0.01463927568149628	0.039601146253254324	0.0994308467333101	0.0	0.02327054873410791	0.2519339899091414	1.0	0.19825924025498873
5400000	-120.44662599121247	-75.09817298260745	-45.34845300860503	-75.09817298260745	41.278920366120246	0.23697265324135164	0.3192436148401321	0.04908486875258758	0.09181836700842187	0.04878492528593721	0.1821867226384646	0.039601146253254324	0.03230770197985089	0.0	0.032326375364296306	0.23947960997952564	1.0	0.23009684322640672
5410000	-117.94225239935938	-71.27816278510087	-46.66408961425851	-71.27816278510087	45.53816084637774	0.1886334056470036	0.3192436148401321	0.0632570369695851	0.07934974296114244	0.18655205612978715	0.08385705039053402	0.03333437604804302	0.04577271701377278	0.0	0.027488402626880917	0.25559365619352037	1.0	0.2619710187723619
5420000	-129.83308958761057	-79.33134845849173	-50.501741129118855	-79.33134845849173	44.02619199299667	0.27746641241500375	0.17846201555551455	0.16143075622472855	0.034086100981923884	0.036199821724876846	0.13538480405159212	0.13119737203258774	0.04577271701377278	0.0	0.025595780180278842	0.17316880807824214	1.0	0.16716732737492482
5430000	-124.82912752833869	-77.39843178852699	-47.4306957398117	-77.39843178852699	50.61615360261121	0.246065438031175	0.1985575622798328	0.04574424813206662	0.023158486894854412	0.10561873430569582	0.15570935109410766	0.11270220492449666	0.11244397433777126	0.0	0.02030542541740633	0.10583660232903319	1.0	0.08812533923046338
5440000	-129.10897819704735	-82.42183570049815	-46.687142496549185	-82.42183570049815	43.94784350184938	0.08190862852500996	0.1985575622798328	0.04574424813206662	0.04665429890472743	0.26977554381186086	0.21736323399504792	0.030808167591200086	0.10918831676025459	0.0	0.025120759222105556	0.12175659531504861	1.0	0.08264073465580785
5450000	-121.63915772880624	-74.95897073385994	-46.6801869949463	-74.95897073385994	46.26736831725924	0.08190862852500996	0.25164677278436165	0.04574424813206662	0.3372275688060712	0.12518598300886943	0.06870679576759062	0.030808167591200086	0.05877183538483072	0.0	0.033311028751418184	0.10414270708337885	1.0	0.06883702270009069
5460000	-121.73393582505881	-77.14268574050851	-44.591250084550296	-77.14268574050851	40.547966090541294	0.08190862852500996	0.25164677278436165	0.08503897491175072	0.0628543992585045	0.10988307724333019	0.06870679576759062	0.32243414327359415	0.017527208235858537	0.0	0.021899388524785544	0.10350386558924782	1.0	0.051917038777347095
