node,tissue
ASV143,LVM
ASV144,LVM
ASV144,LVM
ASV144,LVR
ASV144,LVR
ASV144,PRL
ASV144,PRL
ASV145,LVM
ASV145,PRL
ASV145,LVR
ASV146,RBL
ASV146,RBL
ASV146,RBL
ASV147,LVR
ASV147,LVR
ASV147,LVM
ASV147,LVM
ASV148,RBL
ASV148,RBL
ASV149,LVM
ASV149,LVM
ASV149,LVM
ASV149,RBL
ASV149,RBL
ASV149,RBL
ASV149,LVR
ASV149,LVR
ASV149,LVR
ASV150,PRL
ASV150,PRL
ASV151,LVR
ASV151,LVR
ASV151,RBL
ASV151,RBL
ASV152,PRL
ASV152,PRL
ASV152,RBL
ASV152,RBL
ASV152,LVM
ASV152,LVM
ASV152,LVR
ASV152,LVR
ASV153,RBL
ASV153,RBL
ASV154,LVR
ASV154,LVR
ASV154,LVM
ASV154,LVM
ASV155,RBL
ASV155,RBL
ASV156,LVM
ASV156,PRL
ASV156,RBL
ASV156,LVR
ASV157,LVR
ASV157,RBL
ASV158,LVR
ASV158,RBL
ASV159,LVM
ASV159,LVM
ASV159,LVR
ASV159,LVR
ASV160,RBL
ASV161,LVR
ASV161,LVR
ASV161,LVM
ASV161,LVM
ASV162,LVR
ASV162,LVR
ASV162,RBL
ASV162,RBL
ASV162,LVM
ASV162,LVM
ASV163,RBL
ASV163,LVR
ASV163,LVM
ASV164,LVM
ASV164,LVM
ASV164,RBL
ASV164,RBL
ASV165,RBL
ASV165,RBL
ASV165,RBL
ASV165,RBL
ASV165,LVM
ASV165,LVM
ASV165,LVM
ASV165,LVM
ASV165,LVR
ASV165,LVR
ASV165,LVR
ASV165,LVR
ASV166,LVM
ASV166,LVM
ASV166,LVR
ASV166,LVR
ASV166,RBL
ASV166,RBL
ASV167,LVM
ASV167,RBL
ASV168,RBL
ASV168,RBL
ASV169,RBL
ASV169,RBL
ASV170,LVR
ASV170,LVR
ASV170,LVM
ASV170,LVM
ASV170,PRL
ASV170,PRL
ASV171,RBL
ASV172,RBL
ASV172,RBL
ASV172,LVM
ASV172,LVM
ASV173,LVR
ASV173,LVM
ASV173,PRL
ASV174,PRL
ASV174,LVM
ASV174,RBL
ASV174,LVR
ASV175,LVR
ASV175,LVR
ASV175,LVM
ASV175,LVM
ASV176,LVR
ASV176,LVR
ASV176,LVM
ASV176,LVM
ASV176,RBL
ASV176,RBL
ASV177,PRL
ASV177,PRL
ASV177,LVR
ASV177,LVR
ASV178,LVR
ASV178,LVR
ASV178,RBL
ASV178,RBL
ASV178,LVM
ASV178,LVM
ASV179,LVR
ASV179,LVM
ASV180,LVM
ASV180,LVM
ASV180,PRL
ASV180,PRL
ASV181,LVM
ASV182,RBL
ASV182,RBL
ASV182,LVR
ASV182,LVR
ASV183,PRL
ASV183,PRL
ASV183,LVR
ASV183,LVR
ASV183,LVM
ASV183,LVM
ASV184,RBL
ASV184,RBL
ASV184,RBL
ASV184,LVR
ASV184,LVR
ASV184,LVR
ASV185,RBL
ASV185,RBL
ASV186,PRL
ASV186,PRL
ASV186,LVR
ASV186,LVR
ASV187,LVR
ASV187,LVR
ASV187,LVM
ASV187,LVM
ASV188,LVR
ASV188,LVR
ASV188,LVM
ASV188,LVM
ASV188,RBL
ASV188,RBL
ASV189,LVR
ASV189,LVR
ASV189,LVM
ASV189,LVM
ASV189,PRL
ASV189,PRL
ASV190,LVR
ASV190,LVR
ASV190,RBL
ASV190,RBL
ASV191,LVR
ASV191,LVR
ASV191,PRL
ASV191,PRL
ASV191,LVM
ASV191,LVM
ASV192,RBL
ASV192,RBL
ASV192,RBL
ASV193,LVR
ASV193,LVR
ASV193,LVM
ASV193,LVM
ASV194,RBL
ASV194,LVM
ASV194,LVR
ASV195,LVM
ASV195,LVM
ASV195,PRL
ASV195,PRL
ASV196,RBL
ASV196,LVM
ASV197,LVM
ASV197,LVM
ASV197,LVR
ASV197,LVR
ASV198,RBL
ASV198,RBL
ASV199,LVR
ASV200,LVM
ASV200,LVM
ASV200,PRL
ASV200,PRL
ASV200,LVR
ASV200,LVR
ASV201,LVR
ASV201,LVR
ASV201,RBL
ASV201,RBL
ASV202,LVR
ASV202,RBL
ASV203,LVM
ASV203,PRL
ASV204,LVR
ASV204,LVR
ASV204,PRL
ASV204,PRL
ASV205,LVM
ASV205,LVM
ASV205,PRL
ASV205,PRL
ASV206,RBL
ASV206,LVM
ASV207,RBL
ASV207,RBL
ASV207,RBL
ASV208,PRL
ASV208,RBL
ASV208,LVR
ASV209,LVR
ASV209,LVR
ASV210,RBL
ASV210,RBL
ASV210,LVM
ASV210,LVM
ASV211,LVR
ASV211,LVR
ASV211,RBL
ASV211,RBL
ASV211,LVM
ASV211,LVM
ASV212,RBL
ASV212,RBL
ASV212,RBL
ASV213,RBL
ASV214,PRL
ASV215,RBL
ASV215,RBL
ASV215,RBL
ASV216,LVR
ASV216,LVR
ASV217,LVR
ASV217,LVR
ASV217,LVR
ASV217,RBL
ASV217,RBL
ASV217,RBL
ASV218,LVM
ASV218,LVM
ASV218,PRL
ASV218,PRL
ASV219,PRL
ASV219,LVM
ASV220,RBL
ASV220,RBL
ASV221,LVR
ASV221,LVR
ASV222,LVM
ASV222,LVM
ASV222,RBL
ASV222,RBL
ASV223,RBL
ASV223,RBL
ASV223,RBL
ASV224,LVM
ASV224,LVM
ASV224,PRL
ASV224,PRL
ASV225,LVM
ASV225,LVM
ASV225,LVR
ASV225,LVR
ASV226,LVR
ASV226,LVR
ASV226,LVM
ASV226,LVM
ASV227,LVR
ASV227,LVR
ASV228,LVR
ASV228,LVR
ASV229,RBL
ASV229,RBL
ASV229,PRL
ASV229,PRL
ASV230,LVM
ASV230,LVM
ASV230,LVR
ASV230,LVR
ASV231,PRL
ASV231,PRL
ASV231,LVM
ASV231,LVM
ASV231,LVR
ASV231,LVR
ASV232,RBL
ASV233,LVM
ASV233,LVM
ASV233,PRL
ASV233,PRL
ASV234,RBL
ASV234,RBL
ASV234,LVR
ASV234,LVR
ASV235,LVM
ASV235,PRL
ASV236,LVR
ASV236,LVR
ASV236,RBL
ASV236,RBL
ASV237,RBL
ASV237,RBL
ASV237,LVM
ASV237,LVM
ASV238,LVR
ASV238,LVR
ASV238,LVM
ASV238,LVM
ASV239,LVR
ASV239,LVR
ASV239,LVM
ASV239,LVM
ASV240,RBL
ASV240,RBL
ASV240,LVM
ASV240,LVM
ASV241,RBL
ASV242,LVM
ASV242,LVM
ASV242,LVR
ASV242,LVR
ASV243,PRL
ASV244,RBL
ASV244,RBL
ASV245,LVR
ASV245,LVR
ASV245,LVR
ASV246,LVR
ASV246,RBL
ASV247,RBL
ASV247,RBL
ASV247,LVR
ASV247,LVR
ASV247,PRL
ASV247,PRL
ASV248,RBL
ASV249,LVM
ASV249,LVM
ASV250,LVM
ASV250,LVM
ASV250,PRL
ASV250,PRL
ASV250,LVR
ASV250,LVR
ASV251,PRL
ASV251,LVR
ASV251,RBL
ASV252,RBL
ASV252,RBL
ASV253,RBL
ASV253,RBL
ASV254,LVM
ASV254,LVM
ASV254,LVR
ASV254,LVR
ASV255,LVR
ASV255,LVR
ASV255,LVR
ASV255,LVM
ASV255,LVM
ASV255,LVM
ASV255,RBL
ASV255,RBL
ASV255,RBL
ASV256,PRL
ASV256,PRL
ASV256,LVM
ASV256,LVM
ASV257,RBL
ASV257,LVR
ASV258,LVR
ASV259,LVR
ASV259,LVM
ASV260,LVM
ASV260,LVM
ASV260,LVR
ASV260,LVR
ASV261,LVR
ASV261,LVR
ASV262,RBL
ASV262,RBL
ASV262,LVM
ASV262,LVM
ASV263,LVM
ASV263,LVM
ASV263,LVR
ASV263,LVR
ASV264,RBL
ASV264,RBL
ASV265,LVR
ASV265,LVR
ASV266,RBL
ASV266,RBL
ASV267,RBL
ASV268,RBL
ASV268,RBL
ASV268,RBL
ASV269,PRL
ASV269,LVM
ASV270,LVM
ASV270,LVM
ASV271,RBL
ASV271,RBL
ASV271,LVM
ASV271,LVM
ASV271,LVR
ASV271,LVR
ASV272,LVR
ASV272,LVR
ASV272,LVR
ASV273,LVR
ASV273,LVR
ASV273,LVR
ASV273,RBL
ASV273,RBL
ASV273,RBL
ASV273,LVM
ASV273,LVM
ASV273,LVM
ASV274,RBL
ASV274,RBL
ASV275,RBL
ASV275,RBL
ASV276,LVR
ASV276,LVR
ASV277,LVM
ASV277,PRL
ASV278,LVR
ASV278,LVR
ASV278,LVM
ASV278,LVM
ASV279,LVM
ASV279,LVM
ASV279,PRL
ASV279,PRL
ASV280,LVR
ASV280,RBL
ASV281,LVM
ASV281,LVM
ASV281,LVR
ASV281,LVR
ASV282,RBL
ASV282,RBL
ASV283,LVM
ASV283,LVM
ASV284,LVM
ASV284,LVM
ASV284,LVR
ASV284,LVR
ASV285,LVR
ASV285,LVR
ASV285,LVM
ASV285,LVM
ASV286,RBL
ASV286,RBL
ASV286,RBL
ASV287,RBL
ASV288,LVM
ASV288,PRL
ASV289,LVR
ASV289,LVR
ASV289,PRL
ASV289,PRL
ASV290,LVM
ASV290,LVM
ASV290,LVR
ASV290,LVR
ASV291,LVR
ASV291,LVR
ASV291,LVM
ASV291,LVM
ASV292,LVR
ASV292,LVR
ASV293,RBL
ASV293,RBL
ASV294,LVM
ASV294,LVM
ASV294,RBL
ASV294,RBL
ASV295,RBL
ASV295,RBL
ASV295,LVM
ASV295,LVM
ASV296,RBL
ASV296,RBL
ASV297,LVM
ASV297,LVM
ASV297,LVR
ASV297,LVR
ASV298,RBL
ASV298,RBL
ASV299,LVM
ASV299,LVM
ASV299,LVM
ASV299,LVR
ASV299,LVR
ASV299,LVR
ASV300,RBL
ASV300,LVR
ASV301,LVR
ASV301,LVR
ASV301,LVM
ASV301,LVM
ASV302,LVR
ASV302,LVR
ASV303,LVR
ASV303,LVR
ASV304,LVM
ASV304,PRL
ASV305,LVM
ASV306,LVR
ASV306,LVR
ASV306,LVR
ASV307,LVR
ASV307,LVR
ASV307,LVM
ASV307,LVM
ASV308,RBL
ASV308,RBL
ASV309,RBL
ASV309,RBL
ASV309,LVR
ASV309,LVR
ASV310,LVM
ASV310,LVM
ASV311,RBL
ASV311,RBL
ASV311,RBL
ASV312,LVM
ASV312,LVM
ASV312,LVR
ASV312,LVR
ASV313,LVR
ASV313,LVR
ASV313,LVR
ASV313,PRL
ASV313,PRL
ASV313,PRL
ASV314,LVR
ASV314,LVR
ASV314,PRL
ASV314,PRL
ASV315,LVR
ASV315,LVR
ASV315,LVM
ASV315,LVM
ASV316,RBL
ASV317,LVR
ASV318,RBL
ASV318,RBL
ASV319,RBL
ASV319,RBL
ASV319,LVM
ASV319,LVM
ASV320,RBL
ASV320,RBL
ASV321,LVM
ASV321,LVM
ASV321,RBL
ASV321,RBL
ASV321,PRL
ASV321,PRL
ASV322,RBL
ASV322,RBL
ASV322,RBL
ASV323,LVM
ASV323,LVM
ASV323,LVR
ASV323,LVR
ASV324,LVM
ASV324,LVM
ASV324,LVR
ASV324,LVR
ASV325,LVM
ASV325,LVM
ASV325,RBL
ASV325,RBL
ASV325,PRL
ASV325,PRL
ASV326,RBL
ASV326,RBL
ASV326,RBL
ASV327,LVM
ASV327,LVR
ASV328,LVM
ASV328,RBL
ASV328,LVR
ASV329,LVM
ASV329,LVM
ASV330,RBL
ASV330,RBL
ASV331,LVR
ASV331,LVR
ASV331,LVR
ASV331,RBL
ASV331,RBL
ASV331,RBL
ASV332,LVR
ASV333,RBL
ASV334,RBL
ASV334,RBL
ASV334,LVM
ASV334,LVM
ASV335,RBL
ASV336,LVM
ASV336,LVR
ASV336,PRL
ASV337,LVR
ASV338,LVR
ASV338,LVR
ASV339,LVR
ASV339,LVR
ASV340,LVR
ASV341,LVR
ASV341,LVR
ASV341,LVR
ASV342,RBL
ASV342,RBL
ASV343,LVR
ASV343,LVR
ASV343,PRL
ASV343,PRL
ASV344,RBL
ASV345,RBL
ASV345,RBL
ASV345,RBL
ASV346,LVM
ASV346,LVR
ASV347,LVR
ASV347,LVR
ASV347,LVM
ASV347,LVM
ASV348,RBL
ASV348,RBL
ASV349,LVM
ASV349,LVM
ASV349,RBL
ASV349,RBL
